SRC_IP,DST_IP,DST_PORT,C34_MsgType,C34_DataSourceID,C34_SectorNum,C34_TimeOfDay,C34_AntRotationSpeed,C34_Sys_NOGO,C34_Sys_RDPC,C34_Sys_RDPR,C34_Sys_OVL_RDP,C34_Sys_OVL_XMT,C34_Sys_MSC,C34_Sys_TSV,C34_PSR_ANT,C34_PSR_CHAB,C34_PSR_OVL,C34_PSR_MSC,C34_SSR_ANT,C34_SSR_CHAB,C34_SSR_OVL,C34_SSR_MSC,C34_MDS_ANT,C34_MDS_CHAB,C34_MDS_OVL_SUR,C34_MDS_MSC,C34_MDS_SCF,C34_MDS_DLF,C34_MDS_OVL_SCF,C34_MDS_OVL_DLF,C34_Proc_RED_RDP,C34_Proc_RED_XMT,C34_ProcPSR_POL,C34_ProcPSR_RED_RAD,C34_ProcPSR_STC,C34_ProcSSR_RED_RAD,C34_ProcMDS_RED_RAD,C34_ProcMDS_CLU,C34_MsgCnt_TYP,C34_MsgCnt_VAL,C34_Err_Range,C34_Err_Azimuth,C34_Win_RhoStart,C34_Win_RhoEnd,C34_Win_ThetaStart,C34_Win_ThetaEnd,C34_DataFilter,C34_Height,C34_Lat,C34_Lon,C48_DataSourceID,C48_TimeOfDay,C48_TrackNum,C48_AcftID,C48_Typ,C48_Sim,C48_RDP,C48_SPI,C48_RAB,C48_TST,C48_ERR,C48_XPP,C48_ME,C48_MI,C48_FOE,C48_Polar_Rho,C48_Polar_Theta,C48_Cart_X,C48_Cart_Y,C48_Mode2_V,C48_Mode2_G,C48_Mode2_L,C48_Mode2_Squawk,C48_Mode1_V,C48_Mode1_G,C48_Mode1_L,C48_Mode1_Code,C48_Mode2_Conf,C48_Mode3A_V,C48_Mode3A_G,C48_Mode3A_L,C48_Mode3A_Squawk,C48_Mode3A_Conf,C48_FL_V,C48_FL_G,C48_FlightLevel,C48_ModeC_V,C48_ModeC_G,C48_ModeC_Code,C48_Height3D,C48_RadDopp_D,C48_RadDopp_CAL,C48_RadDopp_DOP,C48_RadDopp_AMB,C48_RadDopp_FRQ,C48_Plot_SRL,C48_Plot_SRR,C48_Plot_SAM,C48_Plot_PRL,C48_Plot_PAM,C48_Plot_RPD,C48_Plot_APD,C48_TrkStat_CNF,C48_TrkStat_RAD,C48_TrkStat_DOU,C48_TrkStat_MAH,C48_TrkStat_CDM,C48_TrkStat_TRE,C48_TrkStat_GHO,C48_TrkStat_SUP,C48_TrkStat_TCC,C48_Calc_GS,C48_Calc_HDG,C48_Quality_X,C48_Quality_Y,C48_Quality_V,C48_Quality_H,C48_AcftAddr,C48_Com_COM,C48_Com_STAT,C48_Com_SI,C48_Com_MSSC,C48_Com_ARC,C48_Com_AIC,C48_Com_B1A,C48_Com_B1B
10.90.90.25,10.90.90.216,8600,1,1,,1,,,,,,,,,0,1,0,0,,,,,,,,,,,,,,,0,0,0,,,,1,0,9,0,,,,,,,,29,26.3022351264954,127.910213470459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.90.90.25,10.90.90.216,8600,2,1,33.75,1,,,,,,,,,0,1,0,0,,,,,,,,,,,,,,,0,0,0,,,,1,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.90.90.25,10.90.90.216,8600,1,1,,1,,,,,,,,,0,1,0,0,,,,,,,,,,,,,,,0,0,0,,,,1,0,9,0,,,,,,,,29,26.3022351264954,127.910213470459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.90.90.25,10.90.90.216,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1857,,1,0,0,0,0,,,,,,,,,-0.2734375,-0.65625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,,,0,0,0,0,,,,,,,,,
10.90.90.25,10.90.90.216,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1856,,1,0,0,0,0,,,,,,,,,-3.6484375,-7.171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,,,0,0,0,0,,,,,,,,,
10.90.90.25,10.90.90.216,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1855,,1,0,0,0,0,,,,,,,,,-1.59375,-4.953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,,,0,0,0,0,,,,,,,,,
10.90.90.25,10.90.90.216,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1858,,1,0,0,0,0,,,,,,,,,-4.71875,-5.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,,,0,0,0,0,,,,,,,,,
10.90.90.25,10.90.90.216,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1848,,1,0,0,0,0,,,,,,,,,-1.234375,-0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,,,0,0,0,0,,,,,,,,,
10.90.90.25,10.90.90.216,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1847,,1,0,0,0,0,,,,,,,,,-0.890625,-0.296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,,,0,0,0,0,,,,,,,,,
10.90.90.25,10.90.90.216,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1846,,1,0,0,0,0,,,,,,,,,-2.3125,-0.234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,,,0,0,0,0,,,,,,,,,
10.90.90.25,10.90.90.216,8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1859,,1,0,0,0,0,,,,,,,,,-3.546875,-0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,,,0,0,0,0,,,,,,,,,
